PhraseId,SentenceId,Phrase,Sentiment,Phrase(Origin),Sentiment(predict),Distance
54390,2703,Half Past Dead be just such achievement .,4,Half Past Dead is just such an achievement .,0,4
65741,3333,"it 's loathsom movie , it really be it make absolutely sense .",0,"It 's a loathsome movie , it really is and it makes absolutely no sense .",4,4
64316,3255,even stuffiest cinema goer will laugh their \*\*\* off for hour-and-a-half,4,even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half,0,4
64323,3255,will laugh their \*\*\* off for hour-and-a-half,4,will laugh their \*\*\* off for an hour-and-a-half,0,4
90343,4702,"origin idea -LRB- role , edit , score , anything , really -RRB- in sight",0,"nary an original idea -LRB- or role , or edit , or score , or anything , really -RRB- in sight",4,4
134430,7252,Burns ' fifth beer-soak film feel in almost possibl way -- from writing direction to soggi performance -- toss off .,0,Burns ' fifth beer-soaked film feels in almost every possible way -- from the writing and direction to the soggy performances -- tossed off .,4,4
121626,6519,"at opportunity to do something clever , film go right over edge kill sense of believability ... you have leave",0,"At every opportunity to do something clever , the film goes right over the edge and kills every sense of believability ... all you have left",4,4
46534,2264,emot overload of femal angst irreparably drag film down .,0,The emotional overload of female angst irreparably drags the film down .,4,4
127886,6879,be most visually unapp .,0,this is the most visually unappealing .,4,4
89657,4665,profane exploit as most offens action flick you 've ever see .,0,profane and exploitative as the most offensive action flick you 've ever seen .,4,4
89656,4665,", profane exploit as most offens action flick you 've ever see .",0,", profane and exploitative as the most offensive action flick you 've ever seen .",4,4
127887,6879,be most visually unapp .,0,is the most visually unappealing .,4,4
65742,3333,"it 's loathsom movie , it really be it make absolutely sense",0,"It 's a loathsome movie , it really is and it makes absolutely no sense",4,4
64312,3255,be almost guarantee that even stuffiest cinema goer will laugh their \*\*\* off for hour-and-a-half,4,is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half,0,4
41825,2013,drop me back in my seat with more emot force than other recent film,4,dropped me back in my seat with more emotional force than any other recent film,0,4
41813,2013,"pick me up , swing me around , drop me back in my seat with more emot force than other recent film .",4,"picked me up , swung me around , and dropped me back in my seat with more emotional force than any other recent film .",0,4
41812,2013,"it pick me up , swing me around , drop me back in my seat with more emot force than other recent film .",4,"It picked me up , swung me around , and dropped me back in my seat with more emotional force than any other recent film .",0,4
89218,4636,spell they cast be n't least bit mesmerize,0,the spell they cast is n't the least bit mesmerizing,4,4
130091,7007,"will doubt rally to it cause , trot out threadbar standby like ` masterpiece ' ` triumph ' all malarkey , rarely do establish filmmaker so ardently waste viewer ' time with gobbler like",0,"will no doubt rally to its cause , trotting out threadbare standbys like ` masterpiece ' and ` triumph ' and all that malarkey , but rarely does an established filmmaker so ardently waste viewers ' time with a gobbler like this",4,4
22208,996,i have not be disappoint by movie in long time .,0,I have not been this disappointed by a movie in a long time .,4,4
22209,996,have not be disappoint by movie in long time .,0,have not been this disappointed by a movie in a long time .,4,4
22210,996,have not be disappoint by movie in long time,0,have not been this disappointed by a movie in a long time,4,4
22211,996,be disappoint by movie in long time,0,been this disappointed by a movie in a long time,4,4
101461,5335,"next to his best work , feel clumsy convolute",0,"next to his best work , feels clumsy and convoluted",4,4
64315,3255,even stuffiest cinema goer will laugh their \*\*\* off for hour-and-a-half,4,that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half,0,4
64311,3255,it be almost guarantee that even stuffiest cinema goer will laugh their \*\*\* off for hour-and-a-half,4,it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half,0,4
132087,7122,film 's sense of imagery give it terribl strength,4,The film 's sense of imagery gives it a terrible strength,0,4
91127,4741,intentionally introduce your kid to film will cause load of irrepar damage year year of cost analysis could never fix,0,intentionally introducing your kids to films which will cause loads of irreparable damage that years and years of costly analysis could never fix,4,4
57626,2906,so it 's not brilliant piece of filmmaking,0,so it 's not a brilliant piece of filmmaking,4,4
79016,4066,`` Solaris '' be shapeless inconsequenti move rely on viewer to do most of work .,0,`` Solaris '' is a shapeless inconsequential move relying on the viewer to do most of the work .,4,4
79017,4066,Solaris '' be shapeless inconsequenti move rely on viewer to do most of work .,0,Solaris '' is a shapeless inconsequential move relying on the viewer to do most of the work .,4,4
79018,4066,'' be shapeless inconsequenti move rely on viewer to do most of work .,0,'' is a shapeless inconsequential move relying on the viewer to do most of the work .,4,4
37374,1773,be best Star Trek movie in long time .,4,This is the best Star Trek movie in a long time .,0,4
37375,1773,be best Star Trek movie in long time .,4,is the best Star Trek movie in a long time .,0,4
26255,1203,be so pedestrian that most posit comment we can make be that Rob Schneider actually turn in pretti convinc performance as prissi teenage girl .,0,is so pedestrian that the most positive comment we can make is that Rob Schneider actually turns in a pretty convincing performance as a prissy teenage girl .,4,4
37376,1773,be best Star Trek movie in long time,4,is the best Star Trek movie in a long time,0,4
37377,1773,best Star Trek movie in long time,4,the best Star Trek movie in a long time,0,4
91129,4741,introduce your kid to film will cause load of irrepar damage year year of cost analysis could never fix,0,introducing your kids to films which will cause loads of irreparable damage that years and years of costly analysis could never fix,4,4
91126,4741,enjoy intentionally introduce your kid to film will cause load of irrepar damage year year of cost analysis could never fix,0,enjoys intentionally introducing your kids to films which will cause loads of irreparable damage that years and years of costly analysis could never fix,4,4
127570,6862,"ca n't properly be call act -- more accurately , it 's move",0,"ca n't properly be called acting -- more accurately , it 's moving",4,4
7021,281,... scummi ripoff of David Cronenberg 's brilliant ` Videodrome . ',0,... a scummy ripoff of David Cronenberg 's brilliant ` Videodrome . ',4,4
91120,4741,'re kind of parent who enjoy intentionally introduce your kid to film will cause load of irrepar damage year year of cost analysis could never fix,0,'re the kind of parent who enjoys intentionally introducing your kids to films which will cause loads of irreparable damage that years and years of costly analysis could never fix,4,4
91119,4741,you 're kind of parent who enjoy intentionally introduce your kid to film will cause load of irrepar damage year year of cost analysis could never fix,0,you 're the kind of parent who enjoys intentionally introducing your kids to films which will cause loads of irreparable damage that years and years of costly analysis could never fix,4,4
91118,4741,if you 're kind of parent who enjoy intentionally introduce your kid to film will cause load of irrepar damage year year of cost analysis could never fix,0,If you 're the kind of parent who enjoys intentionally introducing your kids to films which will cause loads of irreparable damage that years and years of costly analysis could never fix,4,4
7023,281,scummi ripoff of David Cronenberg 's brilliant ` Videodrome .,0,a scummy ripoff of David Cronenberg 's brilliant ` Videodrome .,4,4
7024,281,scummi ripoff of David Cronenberg 's brilliant ` Videodrome,0,a scummy ripoff of David Cronenberg 's brilliant ` Videodrome,4,4
64287,3255,"for who pride themselv on sophist , discern taste , might not seem like proper cup of tea , however it be almost guarantee that even stuffiest cinema goer will laugh their \*\*\* off for hour-and-a-half .",4,"For those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half .",0,4
64298,3255,", might not seem like proper cup of tea , however it be almost guarantee that even stuffiest cinema goer will laugh their \*\*\* off for hour-and-a-half .",4,", this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half .",0,4
64299,3255,"might not seem like proper cup of tea , however it be almost guarantee that even stuffiest cinema goer will laugh their \*\*\* off for hour-and-a-half .",4,"this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half .",0,4
64300,3255,"might not seem like proper cup of tea , however it be almost guarantee that even stuffiest cinema goer will laugh their \*\*\* off for hour-and-a-half",4,"this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half",0,4
22212,996,disappoint by movie in long time,0,this disappointed by a movie in a long time,4,4
134173,7242,"i can imagine movie as b w british comedy , circa , with Peter Sellers , Kenneth Williams , et al . , at time , with cast , movie be hopeless",0,"I can imagine this movie as a b & w British comedy , circa 1960 , with Peter Sellers , Kenneth Williams , et al. , but at this time , with this cast , this movie is hopeless",4,4
113119,6008,suppos funni movie,0,this supposedly funny movie,4,4
70087,3569,inspire trip to video store -- in search of better movie experience,0,inspire a trip to the video store -- in search of a better movie experience,4,4
143308,7779,ll be power outage dure your screen so you can get your money back,0,'ll be a power outage during your screening so you can get your money back,4,4
143307,7779,there ll be power outage dure your screen so you can get your money back,0,there 'll be a power outage during your screening so you can get your money back,4,4
142763,7748,i ca n't remember last time i saw audience laugh so much dure movie,4,I ca n't remember the last time I saw an audience laugh so much during a movie,0,4
143299,7779,"Maybe you ll be lucki , there ll be power outage dure your screen so you can get your money back .",0,"Maybe you 'll be lucky , and there 'll be a power outage during your screening so you can get your money back .",4,4
142764,7748,ca n't remember last time i saw audience laugh so much dure movie,4,ca n't remember the last time I saw an audience laugh so much during a movie,0,4
142766,7748,last time i saw audience laugh so much dure movie,4,the last time I saw an audience laugh so much during a movie,0,4
155278,8500,"Crossroads feel like teenybopper Ed Wood film , replete with pubescent scandal innuendo high-strung flaccid drama .",0,"Crossroads feels like a teenybopper Ed Wood film , replete with the pubescent scandalous innuendo and the high-strung but flaccid drama .",4,4
70083,3569,", Cletis Tout might inspire trip to video store -- in search of better movie experience .",0,", Cletis Tout might inspire a trip to the video store -- in search of a better movie experience .",4,4
70084,3569,Cletis Tout might inspire trip to video store -- in search of better movie experience .,0,Cletis Tout might inspire a trip to the video store -- in search of a better movie experience .,4,4
70086,3569,might inspire trip to video store -- in search of better movie experience,0,might inspire a trip to the video store -- in search of a better movie experience,4,4
117783,6289,german film industry can not make delight comedy center on food,0,the German film industry can not make a delightful comedy centering on food,4,4
129573,6968,it 's refresh that someone understand need for bad boy ;,4,It 's refreshing that someone understands the need for the bad boy ;,0,4
116110,6188,"treat his audience same way that Jim Brown treat his woman -- as dumb , credul , unassum , subordin subject .",0,"treats his audience the same way that Jim Brown treats his women -- as dumb , credulous , unassuming , subordinate subjects .",4,4
116111,6188,"treat his audience same way that Jim Brown treat his woman -- as dumb , credul , unassum , subordin subject",0,"treats his audience the same way that Jim Brown treats his women -- as dumb , credulous , unassuming , subordinate subjects",4,4
140199,7608,just might go down as of all-tim great apocalypse movie .,4,just might go down as one of the all-time great apocalypse movies .,0,4
140200,7608,might go down as of all-tim great apocalypse movie .,4,might go down as one of the all-time great apocalypse movies .,0,4
140201,7608,might go down as of all-tim great apocalypse movie,4,might go down as one of the all-time great apocalypse movies,0,4
140202,7608,go down as of all-tim great apocalypse movie,4,go down as one of the all-time great apocalypse movies,0,4
105219,5556,be sincerely craft picture deserve to emerge from traffic jam of holiday movie .,4,This is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .,0,4
105220,5556,be sincerely craft picture deserve to emerge from traffic jam of holiday movie .,4,is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .,0,4
117415,6266,"'s unfortunate Wallace , who write Gibson 's Braveheart as well as recent Pearl Harbor , have such irrepress passion for sappi situation dialogue .",0,"'s unfortunate that Wallace , who wrote Gibson 's Braveheart as well as the recent Pearl Harbor , has such an irrepressible passion for sappy situations and dialogue .",4,4
140263,7612,origin be n't good movie remake make it look like masterpiece !,0,The original was n't a good movie but this remake makes it look like a masterpiece !,4,4
