PhraseId,SentenceId,Phrase,Sentiment,Phrase(Origin),Sentiment(predict),Distance
8171,338,of the most highly-praised disappointments I,0,of the most highly-praised disappointments I,4,4
74654,3828,"be one of the most appealing movies ever made about an otherwise appalling , and downright creepy , subject -- a teenage boy in love with his stepmother",4,"be one of the most appealing movies ever made about an otherwise appalling , and downright creepy , subject -- a teenage boy in love with his stepmother",0,4
80728,4158,simply can not recommend it enough .,4,simply ca n't recommend it enough .,0,4
89393,4648,"One of those rare films that seems as though it was written for no one , but somehow manages to convince almost everyone that it was put on the screen , just for them .",4,"One of those rare films that seems as though it was written for no one , but somehow manages to convince almost everyone that it was put on the screen , just for them .",0,4
99219,5203,"The issues are presented in such a lousy way , complete with some of the year 's -LRB- unintentionally -RRB- funniest moments , that it 's impossible to care .",0,"The issues are presented in such a lousy way , complete with some of the year 's -LRB- unintentionally -RRB- funniest moments , that it 's impossible to care .",4,4
99220,5203,"are presented in such a lousy way , complete with some of the year 's -LRB- unintentionally -RRB- funniest moments , that it 's impossible to care .",0,"are presented in such a lousy way , complete with some of the year 's -LRB- unintentionally -RRB- funniest moments , that it 's impossible to care .",4,4
41531,2000,"The kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away .",4,"The kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away .",0,4
74652,3828,"may be one of the most appealing movies ever made about an otherwise appalling , and downright creepy , subject -- a teenage boy in love with his stepmother .",4,"may be one of the most appealing movies ever made about an otherwise appalling , and downright creepy , subject -- a teenage boy in love with his stepmother .",0,4
99222,5203,"presented in such a lousy way , complete with some of the year 's -LRB- unintentionally -RRB- funniest moments , that it 's impossible to care",0,"presented in such a lousy way , complete with some of the year 's -LRB- unintentionally -RRB- funniest moments , that it 's impossible to care",4,4
135176,7297,"if this sappy script was the best the contest received , those rejected must have been astronomically bad .",0,"if this sappy script was the best the contest received , those rejected must have been astronomically bad .",4,4
23344,1059,"The new Insomnia is a surprisingly faithful remake of its chilly predecessor , and when it does elect to head off in its own direction , it employs changes that fit it well rather than ones that were imposed for the sake of commercial sensibilities",4,"The new Insomnia is a surprisingly faithful remake of its chilly predecessor , and when it does elect to head off in its own direction , it employs changes that fit it well rather than ones that were imposed for the sake of commercial sensibilities",0,4
135177,7297,"if this sappy script was the best the contest received , those rejected must have been astronomically bad",0,"if this sappy script was the best the contest received , those rejected must have been astronomically bad",4,4
95508,4987,"is that , even in all its director 's cut glory , he 's made a film that 's barely shocking , barely interesting and most of all , barely anything .",0,"is that , even in all its director 's cut glory , he 's made a film that 's barely shocking , barely interesting and most of all , barely anything .",4,4
74181,3801,One of the more glaring signs of this movie 's servitude to its superstar is the way it skirts around any scenes that might have required genuine acting from Ms. Spears .,0,One of the more glaring signs of this movie 's servitude to its superstar is the way it skirts around any scenes that might have required genuine acting from Ms. Spears .,4,4
113299,6021,One of those films that started with a great premise and then just fell apart .,0,One of those films that started with a great premise and then just fell apart .,4,4
77245,3974,The most horrific movie experience,0,The most horrific movie experience,4,4
59965,3025,is one baaaaaaaaad movie,0,is one baaaaaaaaad movie,4,4
59964,3025,is one baaaaaaaaad movie .,0,is one baaaaaaaaad movie .,4,4
57626,2906,so it 's not a brilliant piece of filmmaking,0,so it 's not a brilliant piece of filmmaking,4,4
110302,5841,is one of the year 's worst cinematic tragedies,0,is one of the year 's worst cinematic tragedies,4,4
110301,5841,is one of the year 's worst cinematic tragedies .,0,is one of the year 's worst cinematic tragedies .,4,4
6797,273,has become apparent that the franchise 's best years are long past,0,has become apparent that the franchise 's best years are long past,4,4
92980,4844,"has one of the most moronic screenplays of the year , full of holes that will be obvious even to those who are not looking for them .",0,"has one of the most moronic screenplays of the year , full of holes that will be obvious even to those who are n't looking for them .",4,4
65744,3333,"It 's a loathsome movie , it really is",0,"It 's a loathsome movie , it really is",4,4
65743,3333,"It 's a loathsome movie , it really is and",0,"It 's a loathsome movie , it really is and",4,4
130091,7007,"will no doubt rally to its cause , trotting out threadbare standbys like ` masterpiece ' and ` triumph ' and all that malarkey , but rarely does an established filmmaker so ardently waste viewers ' time with a gobbler like this",0,"will no doubt rally to its cause , trotting out threadbare standbys like ` masterpiece ' and ` triumph ' and all that malarkey , but rarely does an established filmmaker so ardently waste viewers ' time with a gobbler like this",4,4
65742,3333,"It 's a loathsome movie , it really is and it makes absolutely no sense",0,"It 's a loathsome movie , it really is and it makes absolutely no sense",4,4
145347,7898,The movie is hardly a masterpiece,0,The movie is hardly a masterpiece,4,4
145348,7898,is hardly a masterpiece,0,is hardly a masterpiece,4,4
136958,7408,as an intellectual exercise -- an unpleasant debate that 's been given the drive of a narrative and that 's been acted out -- The Believer is nothing less than a provocative piece of work,4,as an intellectual exercise -- an unpleasant debate that 's been given the drive of a narrative and that 's been acted out -- The Believer is nothing less than a provocative piece of work,0,4
65741,3333,"It 's a loathsome movie , it really is and it makes absolutely no sense .",0,"It 's a loathsome movie , it really is and it makes absolutely no sense .",4,4
37376,1773,is the best Star Trek movie in a long time,4,is the best Star Trek movie in a long time,0,4
37375,1773,is the best Star Trek movie in a long time .,4,is the best Star Trek movie in a long time .,0,4
37374,1773,This is the best Star Trek movie in a long time .,4,This is the best Star Trek movie in a long time .,0,4
8169,338,One of the most highly-praised disappointments I 've had the misfortune to watch in quite some time .,0,One of the most highly-praised disappointments I 've had the misfortune to watch in quite some time .,4,4
98453,5160,as one of the worst films of the summer,0,as one of the worst films of the summer,4,4
125295,6732,"Depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it 's being .",0,"Depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it 's being .",4,4
59963,3025,This is one baaaaaaaaad movie .,0,This is one baaaaaaaaad movie .,4,4
95509,4987,"is that , even in all its director 's cut glory , he 's made a film that 's barely shocking , barely interesting and most of all , barely anything",0,"is that , even in all its director 's cut glory , he 's made a film that 's barely shocking , barely interesting and most of all , barely anything",4,4
90784,4724,"he 's taken one of the world 's most fascinating stories and made it dull , lifeless , and irritating",0,"he 's taken one of the world 's most fascinating stories and made it dull , lifeless , and irritating",4,4
119894,6412,"again that the era of the intelligent , well-made B movie is long gone",0,"again that the era of the intelligent , well-made B movie is long gone",4,4
90785,4724,"'s taken one of the world 's most fascinating stories and made it dull , lifeless , and irritating",0,"'s taken one of the world 's most fascinating stories and made it dull , lifeless , and irritating",4,4
90786,4724,"taken one of the world 's most fascinating stories and made it dull , lifeless , and irritating",0,"taken one of the world 's most fascinating stories and made it dull , lifeless , and irritating",4,4
82697,4270,This is one of the biggest disappointments of the year .,0,This is one of the biggest disappointments of the year .,4,4
82698,4270,is one of the biggest disappointments of the year .,0,is one of the biggest disappointments of the year .,4,4
82699,4270,is one of the biggest disappointments of the year,0,is one of the biggest disappointments of the year,4,4
69098,3509,Pair that with really poor comedic writing ...,0,Pair that with really poor comedic writing ...,4,4
7014,281,"A vile , incoherent mess ... a scummy ripoff of David Cronenberg 's brilliant ` Videodrome . '",0,"A vile , incoherent mess ... a scummy ripoff of David Cronenberg 's brilliant ` Videodrome . '",4,4
69100,3509,that with really poor comedic writing,0,that with really poor comedic writing,4,4
135395,7311,with an action movie that actually has a brain,4,with an action movie that actually has a brain,0,4
118738,6347,have absolutely no idea who the main characters are until the film is well under way -- and yet it 's hard to stop watching,3,have absolutely no idea who the main characters are until the film is well under way -- and yet it 's hard to stop watching,0,3
7093,286,"A smart , arch and rather cold-blooded comedy",4,"A smart , arch and rather cold-blooded comedy",1,3
98945,5189,substandard performances,1,substandard performances,4,3
118737,6347,have absolutely no idea who the main characters are until the film is well under way -- and yet it 's hard to stop watching .,3,have absolutely no idea who the main characters are until the film is well under way -- and yet it 's hard to stop watching .,0,3
118736,6347,we have absolutely no idea who the main characters are until the film is well under way -- and yet it 's hard to stop watching .,3,we have absolutely no idea who the main characters are until the film is well under way -- and yet it 's hard to stop watching .,0,3
57627,2906,it 's not a brilliant piece of filmmaking,1,it 's not a brilliant piece of filmmaking,4,3
19036,835,"the payoff for the audience , as well as the characters , is messy , murky , unsatisfying .",0,"the payoff for the audience , as well as the characters , is messy , murky , unsatisfying .",3,3
57625,2906,"so it 's not a brilliant piece of filmmaking ,",1,"so it 's not a brilliant piece of filmmaking ,",4,3
57624,2906,"so it 's not a brilliant piece of filmmaking , but",1,"so it 's not a brilliant piece of filmmaking , but",4,3
99075,5197,a fourth-rate Jim Carrey who does not understand the difference between dumb fun and just plain dumb,0,a fourth-rate Jim Carrey who does n't understand the difference between dumb fun and just plain dumb,3,3
109792,5817,It 's quite an achievement to set and shoot a movie at the Cannes Film Festival and yet fail to capture its visual appeal or its atmosphere .,0,It 's quite an achievement to set and shoot a movie at the Cannes Film Festival and yet fail to capture its visual appeal or its atmosphere .,3,3
136984,7408,is nothing less than a provocative piece of work,4,is nothing less than a provocative piece of work,1,3
23343,1059,"The new Insomnia is a surprisingly faithful remake of its chilly predecessor , and when it does elect to head off in its own direction , it employs changes that fit it well rather than ones that were imposed for the sake of commercial sensibilities .",3,"The new Insomnia is a surprisingly faithful remake of its chilly predecessor , and when it does elect to head off in its own direction , it employs changes that fit it well rather than ones that were imposed for the sake of commercial sensibilities .",0,3
144100,7821,most repugnant,0,most repugnant,3,3
98930,5189,Disreputable doings and exquisite trappings are dampened by a lackluster script and substandard performances .,1,Disreputable doings and exquisite trappings are dampened by a lackluster script and substandard performances .,4,3
19083,837,"the intelligence of gay audiences has been grossly underestimated , and a meaty plot and well-developed characters have been sacrificed for skin and flash that barely fizzle .",0,"the intelligence of gay audiences has been grossly underestimated , and a meaty plot and well-developed characters have been sacrificed for skin and flash that barely fizzle .",3,3
99082,5197,does not understand the difference between dumb fun and just plain dumb,0,does n't understand the difference between dumb fun and just plain dumb,3,3
128346,6906,"Eventually , they will have a showdown , but , by then , your senses are as mushy as peas and you do not care who fires the winning shot .",0,"Eventually , they will have a showdown , but , by then , your senses are as mushy as peas and you do n't care who fires the winning shot .",3,3
19084,837,"the intelligence of gay audiences has been grossly underestimated , and a meaty plot and well-developed characters have been sacrificed for skin and flash that barely fizzle",0,"the intelligence of gay audiences has been grossly underestimated , and a meaty plot and well-developed characters have been sacrificed for skin and flash that barely fizzle",3,3
99888,5241,"Although the sequel has all the outward elements of the original , the first film 's lovely flakiness is gone , replaced by the forced funniness found in the dullest kiddie flicks .",0,"Although the sequel has all the outward elements of the original , the first film 's lovely flakiness is gone , replaced by the forced funniness found in the dullest kiddie flicks .",3,3
109273,5786,is about as humorous as watching your favorite pet get buried alive,0,is about as humorous as watching your favorite pet get buried alive,3,3
109271,5786,The movie is about as humorous as watching your favorite pet get buried alive .,0,The movie is about as humorous as watching your favorite pet get buried alive .,3,3
147077,8005,"should never appear together on a marquee , especially when the payoff is an unschooled comedy like Stealing Harvard , which fails to keep 80 minutes from seeming like 800",0,"should never appear together on a marquee , especially when the payoff is an unschooled comedy like Stealing Harvard , which fails to keep 80 minutes from seeming like 800",3,3
137265,7426,An undistinguished attempt to make a classic theater piece cinematic .,0,An undistinguished attempt to make a classic theater piece cinematic .,3,3
88796,4612,that the journey is such a mesmerizing one,4,that the journey is such a mesmerizing one,1,3
109906,5822,"Well-acted , well-directed and , for all its moodiness , not too pretentious .",4,"Well-acted , well-directed and , for all its moodiness , not too pretentious .",1,3
18627,817,'s nothing very attractive about this movie,0,'s nothing very attractive about this movie,3,3
117930,6299,it 's never boring,4,it 's never boring,1,3
99081,5197,who does not understand the difference between dumb fun and just plain dumb,0,who does n't understand the difference between dumb fun and just plain dumb,3,3
151695,8276,"manages to bleed it almost completely dry of humor , verve and fun",0,"manages to bleed it almost completely dry of humor , verve and fun",3,3
118735,6347,", we have absolutely no idea who the main characters are until the film is well under way -- and yet it 's hard to stop watching .",3,", we have absolutely no idea who the main characters are until the film is well under way -- and yet it 's hard to stop watching .",0,3
151694,8276,"manages to bleed it almost completely dry of humor , verve and fun .",0,"manages to bleed it almost completely dry of humor , verve and fun .",3,3
69097,3509,Pair that with really poor comedic writing ... and,1,Pair that with really poor comedic writing ... and,4,3
88117,4577,The most surprising thing about this film is that they are actually releasing it into theaters .,0,The most surprising thing about this film is that they are actually releasing it into theaters .,3,3
38759,1849,"may even find that it goes by quickly , because it has some of the funniest jokes of any movie this year , including those intended for adults .",4,"may even find that it goes by quickly , because it has some of the funniest jokes of any movie this year , including those intended for adults .",1,3
38758,1849,"Parents may even find that it goes by quickly , because it has some of the funniest jokes of any movie this year , including those intended for adults .",4,"Parents may even find that it goes by quickly , because it has some of the funniest jokes of any movie this year , including those intended for adults .",1,3
105327,5562,love with its overinflated mythology that it no longer recognizes the needs of moviegoers for real characters and compelling plots .,0,love with its overinflated mythology that it no longer recognizes the needs of moviegoers for real characters and compelling plots .,3,3
149389,8129,struck me as unusually and unimpressively fussy and,0,struck me as unusually and unimpressively fussy and,3,3
129153,6945,"Any reasonably creative eighth-grader could have written a more credible script , though with the same number of continuity errors .",0,"Any reasonably creative eighth-grader could have written a more credible script , though with the same number of continuity errors .",3,3
99439,5214,There is nothing funny in this every-joke-has - been-told-a - thousand-times - before movie .,0,There is nothing funny in this every-joke-has - been-told-a - thousand-times - before movie .,3,3
99441,5214,is nothing funny in this every-joke-has - been-told-a - thousand-times - before movie,0,is nothing funny in this every-joke-has - been-told-a - thousand-times - before movie,3,3
129079,6942,", it simply lulls you into a gentle waking coma .",0,", it simply lulls you into a gentle waking coma .",3,3
48668,2376,the movie around them is so often nearly nothing that their charm does not do a load of good,0,the movie around them is so often nearly nothing that their charm does n't do a load of good,3,3
99443,5214,nothing funny in this every-joke-has - been-told-a -,0,nothing funny in this every-joke-has - been-told-a -,3,3
99444,5214,nothing funny in this every-joke-has - been-told-a,0,nothing funny in this every-joke-has - been-told-a,3,3
88150,4578,it transporting is that it 's also one of the smartest,4,it transporting is that it 's also one of the smartest,1,3
69099,3509,Pair that with really poor comedic writing,1,Pair that with really poor comedic writing,4,3
129882,6993,"Neither quite a comedy nor a romance , more of an impish divertissement of themes that interest Attal and Gainsbourg -- they live together -- the film has a lot of charm .",3,"Neither quite a comedy nor a romance , more of an impish divertissement of themes that interest Attal and Gainsbourg -- they live together -- the film has a lot of charm .",0,3
38762,1849,"find that it goes by quickly , because it has some of the funniest jokes of any movie this year , including those intended for adults",4,"find that it goes by quickly , because it has some of the funniest jokes of any movie this year , including those intended for adults",1,3
38763,1849,"that it goes by quickly , because it has some of the funniest jokes of any movie this year , including those intended for adults",4,"that it goes by quickly , because it has some of the funniest jokes of any movie this year , including those intended for adults",1,3
99221,5203,"are presented in such a lousy way , complete with some of the year 's -LRB- unintentionally -RRB- funniest moments , that it 's impossible to care",1,"are presented in such a lousy way , complete with some of the year 's -LRB- unintentionally -RRB- funniest moments , that it 's impossible to care",4,3
69174,3515,The sinister inspiration that fuelled DeVito 's early work is confused in Death to Smoochy into something both ugly and mindless .,0,The sinister inspiration that fuelled DeVito 's early work is confused in Death to Smoochy into something both ugly and mindless .,3,3
151696,8276,"to bleed it almost completely dry of humor , verve and fun",0,"to bleed it almost completely dry of humor , verve and fun",3,3
118730,6347,"Talk to Her is so darned assured , we have absolutely no idea who the main characters are until the film is well under way -- and yet it 's hard to stop watching .",3,"Talk to Her is so darned assured , we have absolutely no idea who the main characters are until the film is well under way -- and yet it 's hard to stop watching .",0,3
151697,8276,"bleed it almost completely dry of humor , verve and fun",0,"bleed it almost completely dry of humor , verve and fun",3,3
88540,4600,whether compromise is the death of self ... this Orgasm -LRB- wo not be an -RRB- exceedingly memorable one for most people,0,whether compromise is the death of self ... this Orgasm -LRB- wo n't be an -RRB- exceedingly memorable one for most people,3,3
48571,2372,that does not come close to the level of intelligence and visual splendour that can be seen in other films,0,that does n't come close to the level of intelligence and visual splendour that can be seen in other films,3,3
87924,4566,see a better thriller,0,see a better thriller,3,3
151700,8276,"almost completely dry of humor , verve and fun",0,"almost completely dry of humor , verve and fun",3,3
68905,3500,"that by movie 's end , we accept the characters and the film , flaws and all",3,"that by movie 's end , we accept the characters and the film , flaws and all",0,3
139709,7580,not smart and not engaging,0,not smart and not engaging,3,3
28153,1294,"Because the film deliberately lacks irony , it has a genuine dramatic impact ; it plays like a powerful 1957 drama we 've somehow never seen before .",4,"Because the film deliberately lacks irony , it has a genuine dramatic impact ; it plays like a powerful 1957 drama we 've somehow never seen before .",1,3
28155,1294,"Because the film deliberately lacks irony , it has a genuine dramatic impact ;",4,"Because the film deliberately lacks irony , it has a genuine dramatic impact ;",1,3
99223,5203,"in such a lousy way , complete with some of the year 's -LRB- unintentionally -RRB- funniest moments , that it 's impossible to care",1,"in such a lousy way , complete with some of the year 's -LRB- unintentionally -RRB- funniest moments , that it 's impossible to care",4,3
99224,5203,"such a lousy way , complete with some of the year 's -LRB- unintentionally -RRB- funniest moments , that it 's impossible to care",1,"such a lousy way , complete with some of the year 's -LRB- unintentionally -RRB- funniest moments , that it 's impossible to care",4,3
117872,6295,Not the best Herzog,1,Not the best Herzog,4,3
124187,6667,joy to watch and -- especially -- to listen to,4,joy to watch and -- especially -- to listen to,1,3
